Ruleset,Race/Species,Subclass,Level,Pact Slot Level,Pact Slots,Cantrips,Known Spells,Prepared Spells,Invocations,Mystic Arcanum,Magical Cunning Recovery,Status
2014,Human,The Great Old One,11,5,3,4,11,0,5,6,0,READY
2014,Human,The Great Old One,12,5,3,4,11,0,6,6,0,READY
2014,Human,The Great Old One,13,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Great Old One,14,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Great Old One,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Great Old One,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Great Old One,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Human,The Great Old One,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Human,The Great Old One,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Great Old One,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Hexblade,1,1,1,2,2,0,0,,0,READY
2014,Human,The Hexblade,2,1,2,2,3,0,2,,0,READY
2014,Human,The Hexblade,3,2,2,2,4,0,2,,0,READY
2014,Human,The Hexblade,4,2,2,3,5,0,2,,0,READY
2014,Human,The Hexblade,5,3,2,3,6,0,3,,0,READY
2014,Human,The Hexblade,6,3,2,3,7,0,3,,0,READY
2014,Human,The Hexblade,7,4,2,3,8,0,4,,0,READY
2014,Human,The Hexblade,8,4,2,3,9,0,4,,0,READY
2014,Human,The Hexblade,9,5,2,3,10,0,5,,0,READY
2014,Human,The Hexblade,10,5,2,4,10,0,5,,0,READY
2014,Human,The Hexblade,11,5,3,4,11,0,5,6,0,READY
2014,Human,The Hexblade,12,5,3,4,11,0,6,6,0,READY
2014,Human,The Hexblade,13,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Hexblade,14,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Hexblade,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Hexblade,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Hexblade,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Human,The Hexblade,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Human,The Hexblade,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Hexblade,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Undead,1,1,1,2,2,0,0,,0,READY
2014,Human,The Undead,2,1,2,2,3,0,2,,0,READY
2014,Human,The Undead,3,2,2,2,4,0,2,,0,READY
2014,Human,The Undead,4,2,2,3,5,0,2,,0,READY
2014,Human,The Undead,5,3,2,3,6,0,3,,0,READY
2014,Human,The Undead,6,3,2,3,7,0,3,,0,READY
2014,Human,The Undead,7,4,2,3,8,0,4,,0,READY
2014,Human,The Undead,8,4,2,3,9,0,4,,0,READY
2014,Human,The Undead,9,5,2,3,10,0,5,,0,READY
2014,Human,The Undead,10,5,2,4,10,0,5,,0,READY
2014,Human,The Undead,11,5,3,4,11,0,5,6,0,READY
2014,Human,The Undead,12,5,3,4,11,0,6,6,0,READY
2014,Human,The Undead,13,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Undead,14,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Undead,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Undead,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Undead,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Human,The Undead,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Human,The Undead,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Undead,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Undying,1,1,1,2,2,0,0,,0,READY
2014,Human,The Undying,2,1,2,2,3,0,2,,0,READY
2014,Human,The Undying,3,2,2,2,4,0,2,,0,READY
2014,Human,The Undying,4,2,2,3,5,0,2,,0,READY
2014,Human,The Undying,5,3,2,3,6,0,3,,0,READY
2014,Human,The Undying,6,3,2,3,7,0,3,,0,READY
2014,Human,The Undying,7,4,2,3,8,0,4,,0,READY
2014,Human,The Undying,8,4,2,3,9,0,4,,0,READY
2014,Human,The Undying,9,5,2,3,10,0,5,,0,READY
2014,Human,The Undying,10,5,2,4,10,0,5,,0,READY
2014,Human,The Undying,11,5,3,4,11,0,5,6,0,READY
2014,Human,The Undying,12,5,3,4,11,0,6,6,0,READY
2014,Human,The Undying,13,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Undying,14,5,3,4,12,0,6,6/7,0,READY
2014,Human,The Undying,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Undying,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Human,The Undying,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Human,The Undying,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Human,The Undying,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Human,The Undying,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Fiend,1,1,1,2,2,0,0,,0,READY
2014,Dwarf,The Fiend,2,1,2,2,3,0,2,,0,READY
2014,Dwarf,The Fiend,3,2,2,2,4,0,2,,0,READY
2014,Dwarf,The Fiend,4,2,2,3,5,0,2,,0,READY
2014,Dwarf,The Fiend,5,3,2,3,6,0,3,,0,READY
2014,Dwarf,The Fiend,6,3,2,3,7,0,3,,0,READY
2014,Dwarf,The Fiend,7,4,2,3,8,0,4,,0,READY
2014,Dwarf,The Fiend,8,4,2,3,9,0,4,,0,READY
2014,Dwarf,The Fiend,9,5,2,3,10,0,5,,0,READY
2014,Dwarf,The Fiend,10,5,2,4,10,0,5,,0,READY
2014,Dwarf,The Fiend,11,5,3,4,11,0,5,6,0,READY
2014,Dwarf,The Fiend,12,5,3,4,11,0,6,6,0,READY
2014,Dwarf,The Fiend,13,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Fiend,14,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Fiend,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Fiend,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Fiend,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Dwarf,The Fiend,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Dwarf,The Fiend,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Fiend,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Archfey,1,1,1,2,2,0,0,,0,READY
2014,Dwarf,The Archfey,2,1,2,2,3,0,2,,0,READY
2014,Dwarf,The Archfey,3,2,2,2,4,0,2,,0,READY
2014,Dwarf,The Archfey,4,2,2,3,5,0,2,,0,READY
2014,Dwarf,The Archfey,5,3,2,3,6,0,3,,0,READY
2014,Dwarf,The Archfey,6,3,2,3,7,0,3,,0,READY
2014,Dwarf,The Archfey,7,4,2,3,8,0,4,,0,READY
2014,Dwarf,The Archfey,8,4,2,3,9,0,4,,0,READY
2014,Dwarf,The Archfey,9,5,2,3,10,0,5,,0,READY
2014,Dwarf,The Archfey,10,5,2,4,10,0,5,,0,READY
2014,Dwarf,The Archfey,11,5,3,4,11,0,5,6,0,READY
2014,Dwarf,The Archfey,12,5,3,4,11,0,6,6,0,READY
2014,Dwarf,The Archfey,13,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Archfey,14,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Archfey,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Archfey,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Archfey,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Dwarf,The Archfey,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Dwarf,The Archfey,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Archfey,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Celestial,1,1,1,2,2,0,0,,0,READY
2014,Dwarf,The Celestial,2,1,2,2,3,0,2,,0,READY
2014,Dwarf,The Celestial,3,2,2,2,4,0,2,,0,READY
2014,Dwarf,The Celestial,4,2,2,3,5,0,2,,0,READY
2014,Dwarf,The Celestial,5,3,2,3,6,0,3,,0,READY
2014,Dwarf,The Celestial,6,3,2,3,7,0,3,,0,READY
2014,Dwarf,The Celestial,7,4,2,3,8,0,4,,0,READY
2014,Dwarf,The Celestial,8,4,2,3,9,0,4,,0,READY
2014,Dwarf,The Celestial,9,5,2,3,10,0,5,,0,READY
2014,Dwarf,The Celestial,10,5,2,4,10,0,5,,0,READY
2014,Dwarf,The Celestial,11,5,3,4,11,0,5,6,0,READY
2014,Dwarf,The Celestial,12,5,3,4,11,0,6,6,0,READY
2014,Dwarf,The Celestial,13,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Celestial,14,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Celestial,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Celestial,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Celestial,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Dwarf,The Celestial,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Dwarf,The Celestial,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Celestial,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Fathomless,1,1,1,2,2,0,0,,0,READY
2014,Dwarf,The Fathomless,2,1,2,2,3,0,2,,0,READY
2014,Dwarf,The Fathomless,3,2,2,2,4,0,2,,0,READY
2014,Dwarf,The Fathomless,4,2,2,3,5,0,2,,0,READY
2014,Dwarf,The Fathomless,5,3,2,3,6,0,3,,0,READY
2014,Dwarf,The Fathomless,6,3,2,3,7,0,3,,0,READY
2014,Dwarf,The Fathomless,7,4,2,3,8,0,4,,0,READY
2014,Dwarf,The Fathomless,8,4,2,3,9,0,4,,0,READY
2014,Dwarf,The Fathomless,9,5,2,3,10,0,5,,0,READY
2014,Dwarf,The Fathomless,10,5,2,4,10,0,5,,0,READY
2014,Dwarf,The Fathomless,11,5,3,4,11,0,5,6,0,READY
2014,Dwarf,The Fathomless,12,5,3,4,11,0,6,6,0,READY
2014,Dwarf,The Fathomless,13,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Fathomless,14,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Fathomless,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Fathomless,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Fathomless,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Dwarf,The Fathomless,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Dwarf,The Fathomless,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Fathomless,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Genie,1,1,1,2,2,0,0,,0,READY
2014,Dwarf,The Genie,2,1,2,2,3,0,2,,0,READY
2014,Dwarf,The Genie,3,2,2,2,4,0,2,,0,READY
2014,Dwarf,The Genie,4,2,2,3,5,0,2,,0,READY
2014,Dwarf,The Genie,5,3,2,3,6,0,3,,0,READY
2014,Dwarf,The Genie,6,3,2,3,7,0,3,,0,READY
2014,Dwarf,The Genie,7,4,2,3,8,0,4,,0,READY
2014,Dwarf,The Genie,8,4,2,3,9,0,4,,0,READY
2014,Dwarf,The Genie,9,5,2,3,10,0,5,,0,READY
2014,Dwarf,The Genie,10,5,2,4,10,0,5,,0,READY
2014,Dwarf,The Genie,11,5,3,4,11,0,5,6,0,READY
2014,Dwarf,The Genie,12,5,3,4,11,0,6,6,0,READY
2014,Dwarf,The Genie,13,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Genie,14,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Genie,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Genie,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Genie,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Dwarf,The Genie,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Dwarf,The Genie,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Genie,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Great Old One,1,1,1,2,2,0,0,,0,READY
2014,Dwarf,The Great Old One,2,1,2,2,3,0,2,,0,READY
2014,Dwarf,The Great Old One,3,2,2,2,4,0,2,,0,READY
2014,Dwarf,The Great Old One,4,2,2,3,5,0,2,,0,READY
2014,Dwarf,The Great Old One,5,3,2,3,6,0,3,,0,READY
2014,Dwarf,The Great Old One,6,3,2,3,7,0,3,,0,READY
2014,Dwarf,The Great Old One,7,4,2,3,8,0,4,,0,READY
2014,Dwarf,The Great Old One,8,4,2,3,9,0,4,,0,READY
2014,Dwarf,The Great Old One,9,5,2,3,10,0,5,,0,READY
2014,Dwarf,The Great Old One,10,5,2,4,10,0,5,,0,READY
2014,Dwarf,The Great Old One,11,5,3,4,11,0,5,6,0,READY
2014,Dwarf,The Great Old One,12,5,3,4,11,0,6,6,0,READY
2014,Dwarf,The Great Old One,13,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Great Old One,14,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Great Old One,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Great Old One,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Great Old One,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Dwarf,The Great Old One,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Dwarf,The Great Old One,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Great Old One,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Hexblade,1,1,1,2,2,0,0,,0,READY
2014,Dwarf,The Hexblade,2,1,2,2,3,0,2,,0,READY
2014,Dwarf,The Hexblade,3,2,2,2,4,0,2,,0,READY
2014,Dwarf,The Hexblade,4,2,2,3,5,0,2,,0,READY
2014,Dwarf,The Hexblade,5,3,2,3,6,0,3,,0,READY
2014,Dwarf,The Hexblade,6,3,2,3,7,0,3,,0,READY
2014,Dwarf,The Hexblade,7,4,2,3,8,0,4,,0,READY
2014,Dwarf,The Hexblade,8,4,2,3,9,0,4,,0,READY
2014,Dwarf,The Hexblade,9,5,2,3,10,0,5,,0,READY
2014,Dwarf,The Hexblade,10,5,2,4,10,0,5,,0,READY
2014,Dwarf,The Hexblade,11,5,3,4,11,0,5,6,0,READY
2014,Dwarf,The Hexblade,12,5,3,4,11,0,6,6,0,READY
2014,Dwarf,The Hexblade,13,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Hexblade,14,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Hexblade,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Hexblade,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Hexblade,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Dwarf,The Hexblade,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Dwarf,The Hexblade,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Hexblade,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Undead,1,1,1,2,2,0,0,,0,READY
2014,Dwarf,The Undead,2,1,2,2,3,0,2,,0,READY
2014,Dwarf,The Undead,3,2,2,2,4,0,2,,0,READY
2014,Dwarf,The Undead,4,2,2,3,5,0,2,,0,READY
2014,Dwarf,The Undead,5,3,2,3,6,0,3,,0,READY
2014,Dwarf,The Undead,6,3,2,3,7,0,3,,0,READY
2014,Dwarf,The Undead,7,4,2,3,8,0,4,,0,READY
2014,Dwarf,The Undead,8,4,2,3,9,0,4,,0,READY
2014,Dwarf,The Undead,9,5,2,3,10,0,5,,0,READY
2014,Dwarf,The Undead,10,5,2,4,10,0,5,,0,READY
2014,Dwarf,The Undead,11,5,3,4,11,0,5,6,0,READY
2014,Dwarf,The Undead,12,5,3,4,11,0,6,6,0,READY
2014,Dwarf,The Undead,13,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Undead,14,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Undead,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Undead,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Undead,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Dwarf,The Undead,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Dwarf,The Undead,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Undead,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Undying,1,1,1,2,2,0,0,,0,READY
2014,Dwarf,The Undying,2,1,2,2,3,0,2,,0,READY
2014,Dwarf,The Undying,3,2,2,2,4,0,2,,0,READY
2014,Dwarf,The Undying,4,2,2,3,5,0,2,,0,READY
2014,Dwarf,The Undying,5,3,2,3,6,0,3,,0,READY
2014,Dwarf,The Undying,6,3,2,3,7,0,3,,0,READY
2014,Dwarf,The Undying,7,4,2,3,8,0,4,,0,READY
2014,Dwarf,The Undying,8,4,2,3,9,0,4,,0,READY
2014,Dwarf,The Undying,9,5,2,3,10,0,5,,0,READY
2014,Dwarf,The Undying,10,5,2,4,10,0,5,,0,READY
2014,Dwarf,The Undying,11,5,3,4,11,0,5,6,0,READY
2014,Dwarf,The Undying,12,5,3,4,11,0,6,6,0,READY
2014,Dwarf,The Undying,13,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Undying,14,5,3,4,12,0,6,6/7,0,READY
2014,Dwarf,The Undying,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Undying,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Dwarf,The Undying,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Dwarf,The Undying,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Dwarf,The Undying,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Dwarf,The Undying,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Elf,The Fiend,1,1,1,2,2,0,0,,0,READY
2014,Elf,The Fiend,2,1,2,2,3,0,2,,0,READY
2014,Elf,The Fiend,3,2,2,2,4,0,2,,0,READY
2014,Elf,The Fiend,4,2,2,3,5,0,2,,0,READY
2014,Elf,The Fiend,5,3,2,3,6,0,3,,0,READY
2014,Elf,The Fiend,6,3,2,3,7,0,3,,0,READY
2014,Elf,The Fiend,7,4,2,3,8,0,4,,0,READY
2014,Elf,The Fiend,8,4,2,3,9,0,4,,0,READY
2014,Elf,The Fiend,9,5,2,3,10,0,5,,0,READY
2014,Elf,The Fiend,10,5,2,4,10,0,5,,0,READY
2014,Elf,The Fiend,11,5,3,4,11,0,5,6,0,READY
2014,Elf,The Fiend,12,5,3,4,11,0,6,6,0,READY
2014,Elf,The Fiend,13,5,3,4,12,0,6,6/7,0,READY
2014,Elf,The Fiend,14,5,3,4,12,0,6,6/7,0,READY
2014,Elf,The Fiend,15,5,3,4,13,0,7,6/7/8,0,READY
2014,Elf,The Fiend,16,5,3,4,13,0,7,6/7/8,0,READY
2014,Elf,The Fiend,17,5,4,4,14,0,7,6/7/8/9,0,READY
2014,Elf,The Fiend,18,5,4,4,14,0,8,6/7/8/9,0,READY
2014,Elf,The Fiend,19,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Elf,The Fiend,20,5,4,4,15,0,8,6/7/8/9,0,READY
2014,Elf,The Archfey,1,1,1,2,2,0,0,,0,READY
2014,Elf,The Archfey,2,1,2,2,3,0,2,,0,READY
2014,Elf,The Archfey,3,2,2,2,4,0,2,,0,READY
2014,Elf,The Archfey,4,2,2,3,5,0,2,,0,READY
2014,Elf,The Archfey,5,3,2,3,6,0,3,,0,READY
2014,Elf,The Archfey,6,3,2,3,7,0,3,,0,READY
2014,Elf,The Archfey,7,4,2,3,8,0,4,,0,READY
